Part#,Product#,Product Line,Status,Standard,Non Standard,Sample,Details 1,Details 2
95021-032211,95021,Gauge Hatches,Standard,95021-08A221,,,"Quick Clamp / Aluminum / 8"" / ANSI-FF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","8""GAGE/HTH AL/FF Q/CL W/L"
94116-2200B0001,94116,,TBD,,,,,"16""ANSI 304/SILICONE V=0."
D43555,D4355,"Delavan Spare Parts (110,220,320)",TBD,,,,,220-C FINAL ASSY-STD ENCL
95210-052202,95210,Gauge Hatches,Standard,95210-052202,,,NoKit,"36""ANSI M/C AL,SS/HDW,NEO"
94060-084245,94060,Pressure / Vacuum Vents,TBD,,,,,"8""X8""FRP C/V DER470+SS|EW"
95210-230212001,95210,Gauge Hatches,Standard,95210-230212001,,,NoKit,"24""ANIS M/H-CVR 316/NBR A"
94020=19010105,94020,Pressure / Vacuum Vents,Standard,94020-1A1A10,,,Open Vent / 12in / ALUMINUM I-ST / ANSI-FF 150# / LOW / Standard / Lead / FEP,"12""AL/FF O/V FEP|SP=STD|3"
92302-18272A,92302,Automatic Tank Gauges,Standard,92302-18272A,,,NoKit,"LVL IND-AL,FT/IN,31'3""MAX"
2350-01,2350-,Temperature Devices,TBD,,,,,MCG 2350 TEMP AVG ASSY
97190-44331113,97190,Wastewater - Misc,Standard,97190-44331113,,,NoKit,"4""FF/AL 316/RTR 316/TEF J"
94020=771302002,94020,Pressure / Vacuum Vents,TBD,,,,,"8""X10"" 316/RF|FEP|SP>5""|L"
D320-S-851-KOBL,D320-,Delavan 320,TBD,,,,,320 FINAL 851-STL 2CPLNG-
94200-123502001,94200,Emergency Vents,TBD,,SP,,,"30""ANSI/STL|BUNA|AL/PAL|L"
97120-206040101,97120,Wastewater - Tanks,SP,,SP,97120-20F20AA,None / CR / No Finish / None / 316/316L SS / ANSI-FF / 5 PSIG,"20""FF ST-316L/AIS LS/SOL/"
97180-001062001,97180,Wastewater - Tanks,Standard,97180-001062001,,,NoKit,"10""FF FS-316,N7/LCP,LS,SO"
97571R180B18KD2,97571,Fire Protection,TBD,,,,,"10""AL|OV|AW|JKT|IW|316:S&"
2600-3100B1101,2600-,Radar Level Gauges,TBD,,,,,"ATX/AL/NOANT2""NPT/HRT/GLD"
94020R18010100,94020,Pressure / Vacuum Vents,TBD,,,,,"10"" BV-ALUM FEP SP=STD R-"
95220-0102,95220,Gauge Hatches,TBD,,,,,"42""AWWA M/CVR,ALUM,316/CL"
94020=11010300,94020,Pressure / Vacuum Vents,Discontinued Feature,,Discontinued Feature,0,#N/A,"2""AL/NPT O/V FEP SP<5"" I-"
94210-130201,94210,Emergency Vents,Standard,94210-6L6B10,,,20in / Standard / Expanda-Seal / API 650 / STEEL,"20""API-CS/316 PAL|SP<4OZ|"
D42940,D4294,"Delavan Spare Parts (110,220,320)",TBD,,,,,"851 TRANSMITTER-2.5""NPT,S"
94570R160201AA1,94570,Fire Protection,TBD,,,,,"6""AL O/V+SNUFR|FEP|R-ST|A"
826598,82659,L&J Spare Parts,TBD,,,,,ASSY-1500F IR STRAIN GAGE
94570=190101AA1,94570,Fire Protection,TBD,,,,,"12"" BV+FA,AL,AL:TB&SH/PAL"
97570R150B18AD2,97570,Fire Protection,TBD,,,,,"4""AL|316:T/B+TR|AW|JKT|XO"
94020=190106002,94020,Pressure / Vacuum Vents,TBD,,,,,"12""AL/FF O/V|<5""|VAC<STD|"
2000M0111001670,2000M,Transmitters,TBD,,,,,2000M VAREC/SPOT/HART/24
D42941,D4294,"Delavan Spare Parts (110,220,320)",TBD,,,,,"851 RECEIVER-2.5""NPT,STL"
1500F2336010908,1500F,Servo Level Gauges,TBD,,,,,"8""300#SS/TAV/AI/2R/LJ/AO/"
97100P2423,97100,Wastewater - Misc,Standard,97100P2423,,,NoKit,LCP2 AL/7 AUTO TMR FAIL S
95210-240202,95210,Gauge Hatches,Standard,95210-240202,,,NoKit,"30""ANSI MANHOLE CVR-316/N"
D40484-37,D4048,"Delavan Spare Parts (110,220,320)",TBD,,,,,"11L/220 SENSOR SET-37KHZ,"
96181-0500,96181,Wastewater - Misc,Standard,96181-0500,,,NoKit,"4"" WATER DRN VLV W/4""NPT"
94020=78110500,94020,Pressure / Vacuum Vents,Standard,94020-0E0F10,,,Open Vent / 10in / 316SS I-ST / ANSI-RF 150# / HIGH / Standard / 316 / FEP,"10""RF BV-316SS AG/PAL SS/"
94570=170103AA2,94570,Fire Protection,TBD,,,,,"8""AL O/V BV+FA|<5""|316:T/"
97190-84331111,97190,Wastewater - Misc,Standard,97190-84331111,,,NoKit,"8""AL/FF 316/RTR 316/NEO N"
821880,82188,L&J Spare Parts,TBD,,,,,ASSY-1600F DSP 7.5V VTO S
943X6-191177,943X6,Fire Protection,TBD,,,,,"12"" ALUM F/A AL:TB+SHL|10"
96330I26232101,96330,Fire Protection,Standard,96330I-26B2021,,,"10 / 10 / Zero Leakage Redundant Springs / Dual Spring - 10"" Valve / SRF Serrated","10""150#J IPI|SRF|316|HNBR"
97311T041611101,97311,Wastewater - Flares,Standard,97311T041611101,,,NoKit,"4"" A304 9.0K P304 CB/AB 4"
94580-12111302,94580,Fire Protection,TBD,,,,,"2""FF MAG/VT+FA|ALUM|VITON"
